Sat Oct 22 22:01:51 UTC 2022 sysprefs_internet_sharing_disable passed (Result: true, Expected: {string: true})
Sat Oct 22 22:01:52 UTC 2022 sysprefs_location_services_disable passed (Result: 0, Expected: {boolean: 0})
Sat Oct 22 22:01:53 UTC 2022 sysprefs_media_sharing_disabled passed (Result: 2, Expected: {integer: 2})
Sat Oct 22 22:01:53 UTC 2022 sysprefs_power_nap_disable failed (Result: , Expected: {integer: 0})
Sat Oct 22 22:01:53 UTC 2022 sysprefs_rae_disable passed (Result: 1, Expected: {integer: 1})
Sat Oct 22 22:01:54 UTC 2022 sysprefs_screen_sharing_disable passed (Result: 1, Expected: {integer: 1})
Sat Oct 22 22:01:54 UTC 2022 sysprefs_screensaver_timeout_enforce passed (Result: 1200, Expected: {integer: 1200})
Sat Oct 22 22:01:54 UTC 2022 sysprefs_siri_disable passed (Result: false, Expected: {string: false})
Sat Oct 22 22:01:55 UTC 2022 sysprefs_smbd_disable passed (Result: 1, Expected: {integer: 1})
Sat Oct 22 22:01:55 UTC 2022 sysprefs_time_server_configure passed (Result: time-a.nist.gov,time-b.nist.gov, Expected: {string: time-a.nist.gov,time-b.nist.gov})
Sat Oct 22 22:01:56 UTC 2022 sysprefs_time_server_enforce passed (Result: true, Expected: {string: true})
Results written to /Library/Preferences/org.cisv8.audit.plist
